TimeOccurred,AreaID,AreaName,ReportingDistrict,CrimeCode,CrimeCodeDescription,VictimAge,VictimSex,VictimDescent,PremiseCode,PremiseDescription,WeaponUsedCode,WeaponDescription,StatusCode,StatusDescription,Address,CrossStreet,Location
500,10,West Valley,1033,354,THEFT OF IDENTITY,25,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,18700    SYLVAN                       ST,,"34.1848,-118.5404"
1800,10,West Valley,1011,310,BURGLARY,43,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,19000    SHERMAN                      WY,,"34.2011,-118.547"
910,10,West Valley,1018,210,ROBBERY,20,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,SATICOY,DENSMORE,"34.2085,-118.4771"
1300,10,West Valley,1024,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER",,M,O,203,OTHER BUSINESS,,,AO,Adult Other,18700    SHERMAN                      WY,,"34.2011,-118.5404"
850,10,West Valley,1024,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER",,M,O,203,OTHER BUSINESS,,,AO,Adult Other,18700    SHERMAN                      WY,,"34.2011,-118.5404"
1300,10,West Valley,1008,510,VEHICLE - STOLEN,11,,,108,PARKING LOT,,,AA,Adult Arrest,16100    RAYMER                       ST,,"34.2177,-118.4837"
2100,10,West Valley,1045,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,33,M,O,104,DRIVEWAY,,,IC,Invest Cont,5700    ENFIELD                      AV,,"34.1746,-118.5229"
1800,10,West Valley,1088,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER,47,F,W,104,DRIVEWAY,,,IC,Invest Cont,16500    ADLON                        RD,,"34.1455,-118.4931"
2000,10,West Valley,1047,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,34,F,H,108,PARKING LOT,,,IC,Invest Cont,17200    BURBANK                      BL,,"34.1723,-118.5076"
1200,10,West Valley,1063,330,BURGLARY FROM VEHICLE,65,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,18600    VENTURA                      BL,,"34.1698,-118.5386"
1130,10,West Valley,1021,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",79,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,19300    VANOWEN                      ST,,"34.1939,-118.5535"
1200,10,West Valley,1039,354,THEFT OF IDENTITY,34,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,6600    WOODLEY                      AV,,"34.1903,-118.4836"
1700,10,West Valley,1018,440,THEFT PLAIN - PETTY ($950 & UNDER,,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,16100    WYANDOTTE                    ST,,"34.203,-118.4837"
725,10,West Valley,1075,310,BURGLARY,29,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,4900    GARDEN GROVE                 AV,,"34.1593,-118.5301"
1630,10,West Valley,1018,510,VEHICLE - STOLEN,11,,,101,STREET,,,IC,Invest Cont,15700    STAGG                        ST,,"34.2121,-118.4749"
1430,10,West Valley,1001,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",53,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,19500    KESWICK                      ST,,"34.2106,-118.5579"
1615,10,West Valley,1028,956,"LETTERS, LEWD",12,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,6700    GERALD                       AV,,"34.1916,-118.4934"
1700,10,West Valley,1018,210,ROBBERY,20,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,GLORIA,COHASSET,"34.2066,-118.4793"
825,10,West Valley,1009,440,THEFT PLAIN - PETTY ($950 & UNDER,20,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,8200    WOODLEY                      AV,,"34.2197,-118.4837"
1130,10,West Valley,1021,664,"BUNCO, PETTY THEFT",32,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,6600    AURA                         AV,,"34.1904,-118.5546"
930,10,West Valley,1001,310,BURGLARY,69,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,19100    LULL                         ST,,"34.2093,-118.5492"
1835,10,West Valley,1039,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,34,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",511,VERBAL THREAT,IC,Invest Cont,6700    WOODLEY                      AV,,"34.1921,-118.4836"
2350,11,Northeast,1105,210,ROBBERY,40,M,H,210,RESTAURANT/FAST FOOD,102,HAND GUN,IC,Invest Cont,2600    COLORADO                     BL,,"34.1422,-118.223"
2200,11,Northeast,1144,330,BURGLARY FROM VEHICLE,32,M,W,108,PARKING LOT,,,IC,Invest Cont,2500    HYPERION                     AV,,"34.1041,-118.2734"
2055,11,Northeast,1113,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER,,M,O,406,OTHER STORE,,,IC,Invest Cont,2600    COLORADO                     BL,,"34.1422,-118.223"
1700,11,Northeast,1134,510,VEHICLE - STOLEN,11,,,101,STREET,,,IC,Invest Cont,AVENUE 31,EAGLE ROCK,"34.1078,-118.2379"
600,11,Northeast,1141,440,THEFT PLAIN - PETTY ($950 & UNDER,57,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,2200 N  EDGEMONT                     ST,,"34.1101,-118.2975"
1500,11,Northeast,1144,480,BIKE - STOLEN,25,M,O,102,SIDEWALK,,,IC,Invest Cont,ROWENA                       AV,SILVER LAKE                  BL,"34.108,-118.2671"
1200,11,Northeast,1136,900,VIOLATION OF COURT ORDER,39,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,1000    ONEONTA                      DR,,"34.1144,-118.2165"
2100,11,Northeast,1148,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,11,,,101,STREET,,,IC,Invest Cont,500    CRANE                        BL,,"34.1037,-118.2064"
1700,11,Northeast,1116,510,VEHICLE - STOLEN,11,,,104,DRIVEWAY,,,AA,Adult Arrest,5200    BALTIMORE                    ST,,"34.1181,-118.2033"
1300,11,Northeast,1112,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",51,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,3000    SAGAMORE                     WY,,"34.1304,-118.2308"
1600,11,Northeast,1107,510,VEHICLE - STOLEN,11,,,101,STREET,,,IC,Invest Cont,1500    WILDWOOD                     DR,,"34.13,-118.1987"
1000,11,Northeast,1132,330,BURGLARY FROM VEHICLE,25,M,F,108,PARKING LOT,,,IC,Invest Cont,3700    LOS FELIZ                    BL,,"34.1157,-118.2733"
630,11,Northeast,1102,330,BURGLARY FROM VEHICLE,24,M,W,101,STREET,,,IC,Invest Cont,4500    COLORADO                     BL,,"34.1417,-118.2697"
2000,11,Northeast,1171,330,BURGLARY FROM VEHICLE,27,F,W,101,STREET,,,IC,Invest Cont,1500    MALTMAN                      AV,,"34.0897,-118.2769"
900,11,Northeast,1128,354,THEFT OF IDENTITY,45,M,W,217,AUTO REPAIR SHOP,,,IC,Invest Cont,6600 N  FIGUEROA                     ST,,"34.1221,-118.1846"
1130,11,Northeast,1134,440,THEFT PLAIN - PETTY ($950 & UNDER,53,F,H,402,MARKET,,,IC,Invest Cont,2900    DIVISION                     ST,,"34.1027,-118.2363"
800,11,Northeast,1174,354,THEFT OF IDENTITY,45,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,2400    ECHO PARK                    AV,,"34.0942,-118.2481"
900,11,Northeast,1142,330,BURGLARY FROM VEHICLE,32,M,W,101,STREET,,,IC,Invest Cont,4500    FINLEY                       AV,,"34.1077,-118.2874"
1500,11,Northeast,1113,440,THEFT PLAIN - PETTY ($950 & UNDER,,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,2600    COLORADO                     BL,,"34.1422,-118.223"
800,11,Northeast,1171,626,INTIMATE PARTNER - SIMPLE ASSAULT,36,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,1500    GRIFFITH PARK                BL,,"34.0899,-118.277"
1930,11,Northeast,1129,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",42,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,6500    ELGIN                        ST,,"34.1177,-118.178"
100,11,Northeast,1159,330,BURGLARY FROM VEHICLE,27,M,H,108,PARKING LOT,,,IC,Invest Cont,4500 N  FIGUEROA                     ST,,"34.1021,-118.2031"
630,11,Northeast,1151,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,31,F,W,101,STREET,,,IC,Invest Cont,1400 N  KENMORE                      AV,,"34.0968,-118.2972"
1800,11,Northeast,1118,928,THREATENING PHONE CALLS/LETTERS,38,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,511,VERBAL THREAT,AA,Adult Arrest,700    NOLDEN                       ST,,"34.1172,-118.1957"
2130,11,Northeast,1144,330,BURGLARY FROM VEHICLE,40,M,H,101,STREET,,,IC,Invest Cont,SCOTLAND                     ST,HYPERION                     AV,"34.1011,-118.2732"
1840,11,Northeast,1113,440,THEFT PLAIN - PETTY ($950 & UNDER,19,F,W,404,DEPARTMENT STORE,,,IC,Invest Cont,2600    COLORADO                     BL,,"34.1422,-118.223"
1900,11,Northeast,1172,901,VIOLATION OF RESTRAINING ORDER,46,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,2200    FARGO                        ST,,"34.092,-118.2586"
1500,12,77th Street,1267,624,BATTERY - SIMPLE ASSAULT,42,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,OLIVE,MANCHESTER                   AV,"33.9601,-118.2793"
2100,12,77th Street,1211,310,BURGLARY,33,M,B,302,FACTORY,,,IC,Invest Cont,3300 W  SLAUSON                      AV,,"33.989,-118.3294"
1500,12,77th Street,1258,510,VEHICLE - STOLEN,11,,,101,STREET,,,IC,Invest Cont,7300 S  BROADWAY,,"33.9737,-118.2783"
1800,12,77th Street,1269,310,BURGLARY,64,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900 E  79TH                         ST,,"33.9675,-118.2586"
1500,12,77th Street,1218,510,VEHICLE - STOLEN,11,,,101,STREET,,,IC,Invest Cont,800 W  56TH                         ST,,"33.9915,-118.2871"
2130,12,77th Street,1248,354,THEFT OF IDENTITY,21,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,800 W  62ND                         ST,,"33.9837,-118.287"
1100,12,77th Street,1242,354,THEFT OF IDENTITY,66,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,6000    4TH                          AV,,"33.9855,-118.3216"
1900,12,77th Street,1233,900,VIOLATION OF COURT ORDER,25,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,1700 W  60TH                         ST,,"33.9859,-118.3068"
930,12,77th Street,1283,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,54,F,B,101,STREET,,,IC,Invest Cont,9200    DENKER                       AV,,"33.9527,-118.3047"
2200,12,77th Street,1203,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",24,M,B,104,DRIVEWAY,,,AA,Adult Arrest,1700 W  49TH                         ST,,"33.999,-118.3089"
2300,12,77th Street,1256,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,F,B,501,SINGLE FAMILY DWELLING,302,BLUNT INSTRUMENT,IC,Invest Cont,900 W  76TH                         ST,,"33.9707,-118.2893"
1500,12,77th Street,1218,354,THEFT OF IDENTITY,20,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,800 W  54TH                         ST,,"33.9933,-118.2871"
1400,12,77th Street,1233,310,BURGLARY,51,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,1700 W  59TH                         PL,,"33.9867,-118.3068"
1200,12,77th Street,1257,310,BURGLARY,33,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,400 W  78TH                         ST,,"33.9689,-118.2813"
1,12,77th Street,1265,330,BURGLARY FROM VEHICLE,35,M,B,101,STREET,,,IC,Invest Cont,1100 W  81ST                         ST,,"33.9657,-118.2941"
1100,12,77th Street,1266,624,BATTERY - SIMPLE ASSAULT,22,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,700 W  82ND                         ST,,"33.9643,-118.2856"
1900,12,77th Street,1265,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",21,M,B,101,STREET,,,IC,Invest Cont,1500 W  80TH                         ST,,"33.9664,-118.3025"
2200,12,77th Street,1269,510,VEHICLE - STOLEN,11,,,101,STREET,,,IC,Invest Cont,300 E  80TH                         ST,,"33.9665,-118.2695"
200,12,77th Street,1283,310,BURGLARY,29,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,9200 S  WESTERN                      AV,,"33.9527,-118.309"
2045,12,77th Street,1241,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,48,M,O,505,MOTEL,,,AO,Adult Other,6300    CRENSHAW                     BL,,"33.9829,-118.3309"
1030,12,77th Street,1241,320,"BURGLARY, ATTEMPTED",91,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,3700 W  60TH                         ST,,"33.9854,-118.3378"
625,12,77th Street,1258,860,BATTERY WITH SEXUAL CONTACT,18,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AA,Adult Arrest,FIGUEROA                     ST,70TH                         ST,"33.9765,-118.2827"
1415,12,77th Street,1245,210,ROBBERY,19,F,H,103,ALLEY,307,VEHICLE,IC,Invest Cont,1000 W  67TH                         ST,,"33.9785,-118.2918"
630,12,77th Street,1203,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER,31,M,B,101,STREET,,,IC,Invest Cont,45TH,WESTERN,"34.0028,-118.3089"
750,12,77th Street,1213,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",45,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,5200 S  MANHATTAN                    PL,,"33.9951,-118.3101"
1500,12,77th Street,1241,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,6000    10TH                         AV,,"33.9854,-118.3279"
1800,12,77th Street,1263,624,BATTERY - SIMPLE ASSAULT,33,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,1700 W  85TH                         ST,,"33.9609,-118.3068"
1500,12,77th Street,1203,626,INTIMATE PARTNER - SIMPLE ASSAULT,36,F,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,1600 W  48TH                         ST,,"34.0001,-118.3067"
1600,12,77th Street,1268,330,BURGLARY FROM VEHICLE,55,M,H,104,DRIVEWAY,,,AO,Adult Other,100 W  79TH                         ST,,"33.9679,-118.2739"
800,12,77th Street,1232,354,THEFT OF IDENTITY,69,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,3600 W  58TH                         PL,,"33.9881,-118.3352"
1315,12,77th Street,1259,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,74TH                         ST,STANFORD,"33.973,-118.263"
500,12,77th Street,1243,510,VEHICLE - STOLEN,11,,,121,YARD (RESIDENTIAL/BUSINESS,,,IC,Invest Cont,2000 W  65TH                         ST,,"33.9806,-118.3133"
1900,12,77th Street,1268,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,11,,,101,STREET,,,IC,Invest Cont,200 E  82ND                         ST,,"33.9654,-118.2717"
2100,12,77th Street,1243,210,ROBBERY,34,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,2000 W  65TH                         PL,,"33.9798,-118.3133"
1100,12,77th Street,1268,330,BURGLARY FROM VEHICLE,38,F,H,104,DRIVEWAY,,,AA,Adult Arrest,100 W  80TH                         ST,,"33.9669,-118.2739"
30,12,77th Street,1268,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,31,M,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,100 W  79TH                         ST,,"33.9679,-118.2739"
1200,12,77th Street,1241,354,THEFT OF IDENTITY,60,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,6100    8TH                          AV,,"33.9845,-118.3265"
1040,12,77th Street,1233,210,ROBBERY,11,M,W,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,1900 W  SLAUSON                      AV,,"33.9892,-118.3113"
1600,12,77th Street,1268,310,BURGLARY,55,M,H,707,GARAGE/CARPORT,,,IC,Invest Cont,100 W  79TH                         ST,,"33.9679,-118.2739"
1050,12,77th Street,1239,350,"THEFT, PERSON",48,F,B,220,NAIL SALON,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,6000 S  VERMONT                      AV,,"33.9856,-118.2915"
1935,12,77th Street,1203,762,LEWD CONDUCT,11,M,X,101,STREET,,,IC,Invest Cont,46TH,SAINT ANDREWS,"34.0019,-118.3113"
1200,13,Newton,1383,354,THEFT OF IDENTITY,52,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,200 E  GAGE                         AV,,"33.9824,-118.2718"
2130,13,Newton,1343,510,VEHICLE - STOLEN,11,,,101,STREET,,,IC,Invest Cont,4000 S  SAN PEDRO                    ST,,"34.0112,-118.268"
1400,13,Newton,1323,330,BURGLARY FROM VEHICLE,45,M,B,101,STREET,,,IC,Invest Cont,CENTRAL                      AV,20TH                         ST,"34.0237,-118.2512"
2215,13,Newton,1354,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,64,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,4200    WOODLAWN                     AV,,"34.0073,-118.2728"
1020,13,Newton,1324,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",45,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,1300 E  21ST                         ST,,"34.0224,-118.2524"
800,13,Newton,1393,354,THEFT OF IDENTITY,21,F,O,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,100 W  70TH                         ST,,"33.9765,-118.2739"
1300,13,Newton,1385,354,THEFT OF IDENTITY,24,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,400 E  60TH                         ST,,"33.9852,-118.2681"
2200,13,Newton,1347,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,52,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,1500 E  43RD                         ST,,"34.0059,-118.2474"
1845,13,Newton,1391,510,VEHICLE - STOLEN,11,,,101,STREET,,,IC,Invest Cont,67TH                         ST,BROADWAY,"33.979,-118.2783"
1430,13,Newton,1331,330,BURGLARY FROM VEHICLE,31,M,H,101,STREET,,,AA,Adult Arrest,3000 S  MAIN                         ST,,"34.0218,-118.2707"
1800,13,Newton,1317,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,,M,H,108,PARKING LOT,,,IC,Invest Cont,1200 S  NAOMI                        AV,,"34.0287,-118.2435"
1855,13,Newton,1344,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",64,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,600 E  41ST                         ST,,"34.0092,-118.2652"
1700,13,Newton,1323,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,29,F,H,101,STREET,,,IC,Invest Cont,1000 E  24TH                         ST,,"34.022,-118.2573"
1645,13,Newton,1347,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,30,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,1500 E  VERNON                       AV,,"34.0039,-118.2477"
1330,13,Newton,1323,624,BATTERY - SIMPLE ASSAULT,33,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,700 E  25TH                         ST,,"34.0225,-118.2607"
740,13,Newton,1309,624,BATTERY - SIMPLE ASSAULT,49,M,H,213,WAREHOUSE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,1400    MATEO                        ST,,"34.028,-118.2322"
2345,13,Newton,1325,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",,M,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,2500 S  CENTRAL                      AV,,"34.0197,-118.2546"
1820,13,Newton,1395,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",,M,H,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,6600 S  SAN PEDRO                    ST,,"33.9797,-118.2695"
1850,13,Newton,1343,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,B,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,600 E  41ST                         ST,,"34.0092,-118.2652"
1200,13,Newton,1362,662,"BUNCO, GRAND THEFT",52,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,4700    AVALON                       BL,,"34.0007,-118.2652"
2100,13,Newton,1373,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,M,H,101,STREET,219,SCREWDRIVER,AA,Adult Arrest,CENTRAL,55TH,"33.9925,-118.2564"
1720,13,Newton,1324,440,THEFT PLAIN - PETTY ($950 & UNDER,28,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,25TH                         ST,HOOPER                       AV,"34.0174,-118.2494"
700,13,Newton,1343,220,ATTEMPTED ROBBERY,45,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,800 E  40TH                         PL,,"34.0101,-118.2614"
2045,13,Newton,1365,624,BATTERY - SIMPLE ASSAULT,21,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,1400 E  51ST                         ST,,"33.9967,-118.2499"
2000,13,Newton,1354,330,BURGLARY FROM VEHICLE,29,F,H,101,STREET,,,IC,Invest Cont,4300    WOODLAWN                     AV,,"34.0057,-118.2728"
2210,13,Newton,1391,440,THEFT PLAIN - PETTY ($950 & UNDER,,M,H,203,OTHER BUSINESS,,,AO,Adult Other,300 W  FLORENCE                     AV,,"33.9747,-118.2783"
2200,13,Newton,1325,310,BURGLARY,59,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,1100 E  33RD                         ST,,"34.0136,-118.2565"
2050,13,Newton,1367,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,38,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,1700 E  51ST                         ST,,"33.9962,-118.2411"
1345,13,Newton,1321,330,BURGLARY FROM VEHICLE,41,M,W,101,STREET,,,IC,Invest Cont,BROADWAY,21ST,"34.0294,-118.2671"
1700,14,Pacific,1415,510,VEHICLE - STOLEN,11,,,101,STREET,,,IC,Invest Cont,1000    VERNON                       AV,,"34.0029,-118.4628"
225,14,Pacific,1431,624,BATTERY - SIMPLE ASSAULT,36,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,1400    PACIFIC                      AV,,"33.9889,-118.4732"
2330,14,Pacific,1471,510,VEHICLE - STOLEN,11,,,101,STREET,,,IC,Invest Cont,6900    TROLLEYWAY,,"33.9575,-118.4501"
800,14,Pacific,1489,624,BATTERY - SIMPLE ASSAULT,43,M,W,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,5200 W  CENTURY                      BL,,"33.9454,-118.3701"
1545,14,Pacific,1453,440,THEFT PLAIN - PETTY ($950 & UNDER,26,F,B,710,OTHER PREMISE,,,IC,Invest Cont,13400    MAXELLA                      AV,,"33.9873,-118.4403"
1200,14,Pacific,1494,350,"THEFT, PERSON",24,F,A,212,TRANSPORTATION FACILITY (AIRPORT,,,IC,Invest Cont,800    WORLD WAY,,"33.9434,-118.3993"
1030,14,Pacific,1494,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",38,F,W,212,TRANSPORTATION FACILITY (AIRPORT,,,AA,Adult Arrest,600    WORLD                        WY,,"33.943,-118.4035"
900,14,Pacific,1407,354,THEFT OF IDENTITY,29,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,3700    CLARINGTON                   AV,,"34.0248,-118.4021"
1200,14,Pacific,1467,354,THEFT OF IDENTITY,70,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,5900 W  76TH                         ST,,"33.9722,-118.3861"
1200,14,Pacific,1467,354,THEFT OF IDENTITY,65,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,5900 W  76TH                         ST,,"33.9722,-118.3861"
100,14,Pacific,1468,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,41,F,H,504,OTHER RESIDENCE,,,IC,Invest Cont,4900    MARIONWOOD                   DR,,"33.9935,-118.41"
1645,14,Pacific,1488,330,BURGLARY FROM VEHICLE,49,M,O,108,PARKING LOT,,,IC,Invest Cont,5600 W  MANCHESTER                   BL,,"33.9599,-118.3788"
1330,14,Pacific,1435,310,BURGLARY,38,M,H,504,OTHER RESIDENCE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,3600    MCLAUGHLIN                   AV,,"34.0124,-118.4276"
1000,14,Pacific,1407,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",60,M,W,504,OTHER RESIDENCE,,,IC,Invest Cont,10000    REGENT                       ST,,"34.0252,-118.4013"
1400,14,Pacific,1476,354,THEFT OF IDENTITY,61,M,W,504,OTHER RESIDENCE,,,IC,Invest Cont,6300 W  80TH                         ST,,"33.967,-118.396"
1120,14,Pacific,1413,354,THEFT OF IDENTITY,60,F,W,504,OTHER RESIDENCE,,,IC,Invest Cont,1000    5TH                          AV,,"33.9936,-118.4703"
800,14,Pacific,1435,354,THEFT OF IDENTITY,28,F,O,504,OTHER RESIDENCE,,,IC,Invest Cont,3500    MOUNTAIN VIEW                AV,,"34.0125,-118.4353"
1300,14,Pacific,1464,440,THEFT PLAIN - PETTY ($950 & UNDER,30,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,13000    PACIFIC PROMENADE,,"33.9732,-118.4225"
930,14,Pacific,1428,310,BURGLARY,65,F,W,504,OTHER RESIDENCE,,,IC,Invest Cont,3400    VETERAN                      AV,,"34.0238,-118.4191"
1,14,Pacific,1438,330,BURGLARY FROM VEHICLE,32,F,A,707,GARAGE/CARPORT,,,IC,Invest Cont,3700    GLENDON                      AV,,"34.0196,-118.4103"
